Row Labels,Count of Service Request Type
Beaches-East York (19),13441
Davenport (09),13501
Don Valley East (16),5966
Don Valley North (17),7024
Don Valley West (15),10157
Eglinton-Lawrence (08),12457
Etobicoke Centre (02),10246
Etobicoke North (01),7095
Etobicoke-Lakeshore (03),12963
Humber River-Black Creek (07),6439
Parkdale-High Park (04),12643
Scarborough Centre (21),9648
Scarborough North (23),6108
Scarborough Southwest (20),11085
Scarborough-Agincourt (22),6321
Scarborough-Guildwood (24),7677
Scarborough-Rouge Park (25),9308
Spadina-Fort York (10),10480
Toronto Centre (13),8750
Toronto-Danforth (14),15224
Toronto-St. Paul's (12),10894
University-Rosedale (11),13328
Unknown,1
Willowdale (18),7918
York Centre (06),8301
York South-Weston (05),10298
Grand Total,247273
